time,FPS
1680117360,193
1680117361,191
1680117362,188
1680117363,189
1680117364,192
1680117365,193
1680117366,195
1680117367,198
1680117368,196
1680117369,197
1680117370,195
1680117371,196
1680117372,193
1680117373,202
1680117374,210
1680117375,197
1680117376,194
1680117377,185
1680117378,174
1680117379,165
1680117380,164
1680117381,165
1680117382,159
1680117383,156
1680117384,159
1680117385,167
1680117386,172
1680117387,163
1680117388,162
1680117389,167
1680117390,172
1680117391,171
1680117392,170
1680117393,178
1680117394,177
1680117395,176
1680117396,187
1680117397,189
1680117398,187
1680117399,191
1680117400,199
1680117401,193
1680117402,194
1680117403,191
1680117404,191
1680117405,192
1680117406,190
1680117407,190
1680117408,192
1680117409,185
1680117410,175
1680117411,176
1680117412,175
1680117413,177
1680117414,178
1680117415,176
1680117416,177
1680117417,178
1680117418,178
1680117419,189
1680117420,199
1680117421,192
1680117422,197
1680117423,200
1680117424,195
1680117425,196
1680117426,200
1680117427,198
1680117428,197
1680117429,198
1680117430,195
1680117431,195
1680117432,195
1680117433,196
1680117434,195
1680117435,195
1680117436,184
1680117437,195
1680117438,193
1680117439,209
1680117440,211
1680117441,212
1680117442,212
1680117443,211
1680117444,206
1680117445,201
1680117446,200
1680117447,201
1680117448,208
1680117449,210
1680117450,194
1680117451,199
1680117452,198
1680117453,200
1680117454,199
1680117455,202
1680117456,191
1680117457,190
1680117458,185
1680117459,192
1680117460,191
1680117461,190
1680117462,190
1680117463,193
1680117464,189
1680117465,190
1680117466,196
1680117467,197
1680117468,191
1680117469,193
1680117470,193
1680117471,195
1680117472,201
1680117473,200
1680117474,203
1680117475,206
1680117476,207
1680117477,199
1680117478,199
1680117479,202
1680117480,197
1680117481,199
1680117482,197
1680117483,185
1680117484,186
1680117485,187
1680117486,188
1680117487,193
1680117488,196
1680117489,196
1680117490,197
1680117491,191
1680117492,194
1680117493,194
1680117494,195
